# Fake animations format 

# Rotations 
# r frameNum x.rotation y.rotation z.rotation
r 0 0 0 30
r 0 0 0 30
r 0 0 0 30
r 0 0 0 30
r 0 0 0 30
r 0 0 0 30
r 0 0 0 30
r 0 0 0 30
r 0 0 0 30
r 0 0 0 30
r 0 0 0 30
r 0 0 0 30

r 0 0 180 30
r 0 0 180 30
r 0 0 180 30
r 0 0 180 30
r 0 0 180 30
r 0 0 180 30
r 0 0 180 30
r 0 0 180 30
r 0 0 180 30
r 0 0 180 30
r 0 0 180 30
r 0 0 180 30

# Translations
# t frameNum x.offset y.offset z.offset
#t 0 -0.6 -2.5 0
#t 0 -0.6 -2.0 0
#t 0 -0.4 -1.5 0
#t 0 -0.4 -1.0 0
#t 0 -0.2 -0.5 0
#
#t 0 -0.6 -2.5 0
#t 0 -0.6 -2.0 0
#t 0 -0.4 -1.5 0
#t 0 -0.4 -1.0 0
#t 0 -0.2 -0.5 0

t 0 -0.0 -2.0 0
t 0 -0.2 -1.5 0
t 0 -0.4 -1.0 0
t 0 -0.6 -0.5 0
t 0 -0.6 -0.0 0
t 0 -0.4  1.0 0

t 0 -0.0 -2.0 0
t 0 -0.2 -1.5 0
t 0 -0.4 -1.0 0
t 0 -0.6 -0.5 0
t 0 -0.6 -0.0 0
t 0 -0.4  1.0 0

t 0 0.0 -2.0 0
t 0 0.2 -1.5 0
t 0 0.4 -1.0 0
t 0 0.6 -0.5 0
t 0 0.6 -0.0 0
t 0 0.4  1.0 0

t 0 0.0 -2.0 0
t 0 0.2 -1.5 0
t 0 0.4 -1.0 0
t 0 0.6 -0.5 0
t 0 0.6 -0.0 0
t 0 0.4  1.0 0

# Scaling 
# s frameNum x.scaling y.scaling z.scaling 
